id,type,name,native,aliases,region,countries,from_year,to_year,living,period,form,materials,worn,against,restricted,confidence,needs_verification,updated,url,blurb
charm-coin,amulet,Chinese charm coin,厭勝錢,yansheng coin · yasheng coin · huaqian · flower coin · patterned coin · play coin · Chinese numismatic charm,china korea japan mainland-sea,CN TW VN KR JP,-205,,True,Western Han to the present,coin,brass copper iron lead silver gold jade paper,pocket waist door wall grave,bad-luck travel animal-attack spirits exams the-dead war,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/charm-coin/,"A cast bronze disc with a hole through it, shaped like a Chinese cash coin and never spendable as one."
cimaruta,amulet,Cimaruta,cimaruta,sprig of rue · cima di ruta,rome-italy diaspora,IT US,1899,,True,Documented from the turn of the twentieth century,pendant,silver,neck cradle,evil-eye child-harm,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/cimaruta/,A silver sprig of rue with charms on the ends of its branches.
cippus-of-horus,amulet,Cippus of Horus,,magical stela · healing stela · Horus on the Crocodiles · Horus stela · Horus cippus,ancient-egypt,EG,-1068,-29,False,Third Intermediate Period to the end of Ptolemaic Egypt,plaque,earth,wall neck,snakebite animal-attack illness,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/cippus-of-horus/,"A slab of stone carved with the child Horus standing on two crocodiles, gripping snakes and scorpions in his fists, and often an antelope by the horns and a lion by the tail. Rows of hieroglyphs cover the rest of it."
concealed-shoe,amulet,Concealed shoe,,hidden shoe · chimney shoe · immured shoe · spiritual midden shoe,britain-ireland western-europe north-america australia,GB DE US CA AU,1308,1991,False,Late medieval to the mid-twentieth century,garment,leather wood,hearth foundation wall roof door,witchcraft demons spirits infertility house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/concealed-shoe/,"An ordinary worn shoe, walled into a building where nobody will see it: up a chimney, under a floor, above a ceiling, in the roof, beside a door or window frame, occasionally in the foundations."
coptic-cross-tattoo,amulet,Coptic cross tattoo,ⲥⲧⲁⲩⲣⲟⲥ,Coptic wrist cross · the cross on the wrist,ancient-egypt east-africa diaspora,EG,640,,True,the Coptic period to the present,tattoo,ink skin,wrist skin,curse child-harm,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/coptic-cross-tattoo/,"A small cross tattooed on the inside of the right wrist. The usual design is the Coptic cross: two bold lines of equal length crossing at right angles, each arm ending in three points — twelve points in all. Often blue."
corn-dolly,amulet,Corn dolly,,corn mother · Corn-maiden · Kirn Dolly · Kirn Baby · Kern Baby · the Neck · Cailleach · Carlin · Caseg Fedi · vetula,britain-ireland western-europe nordic baltic-slavic,GB IE DE AT PL FR BE SE,600,,True,Early medieval to the present,figurine,straw palm-leaf thread cloth,field wall roof,house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/corn-dolly/,"A hollow shape plaited from the last sheaf of a harvest: a figure, a knot, a lantern, a crown, a fan, a horseshoe."
cornicello,amulet,Cornicello,cornicello,cornetto · corno · corno portafortuna · curniciello · Italian horn,rome-italy diaspora north-america,IT US,1500,,True,"Modern, on an older shape",horn,gold silver plastic bone terracotta coral,neck vehicle wall,evil-eye infertility bad-luck livestock traffic,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/cornicello/,"A single twisted horn, a few centimetres long, tapering to a point and pierced at the wide end for a chain. Gold, silver, plastic, bone, terracotta or red coral."
cowrie-strand,amulet,Cowrie strand,,cowry shells · buzios · miigis shells · whiteshells · bulikula · nzimbu,west-africa east-africa ancient-egypt south-asia pacific brazil north-america,NG BJ SL KE EG IL IN NP FJ BR CA GH,-2999,,True,Predynastic Egypt and the Neolithic Levant to the present,bead,cowrie shell thread,neck waist hair grave pocket,infertility bad-luck poverty the-dead childbirth,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/cowrie-strand/,"Small sea-snail shells, egg-shaped, glossy, with a long toothed slit down the flat underside. Strung on cord, sewn onto cloth, hung at the neck, or thrown in handfuls."
crystal-pendant,amulet,Crystal pendant,,healing crystal · crystal point pendant · rose quartz pendant · amethyst pendant · tumbled stone pendant,north-america britain-ireland world,US GB MG,,,True,the modern New Age trade; lapidary medicine is much older,pendant,agate turquoise amber silver,neck chest pocket,illness bad-luck,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/crystal-pendant/,"A cut or tumbled stone hung at the neck, usually in a wire cage or a silver bezel: a six-sided quartz point, a rose quartz lozenge, a lump of amethyst, a polished bead of agate or turquoise."
curse-tablet,amulet,Curse tablet,κατάδεσμος,defixio · katadesmos · binding tablet · judicial prayer,greece-aegean rome-italy britain-ireland western-europe,GR IT GB,-499,399,False,Classical Greek to Roman Britain,plaque,lead iron,grave wall foundation,lawsuit theft loneliness the-dead,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/curse-tablet/,"A very thin sheet of lead with tiny letters scratched into it, then rolled, folded, or pierced through with a nail."
daruma,amulet,Daruma,達磨,daruma doll · だるま · okiagari-koboshi kin · hime daruma · onna daruma · Goshiki Daruma,japan,JP,1764,,True,Meiwa to the present,figurine,paper ink wood terracotta,shop wall hearth,bad-luck illness attraction exams,False,high,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/daruma/,"A hollow papier-mâché figure, round, weighted at the base so it rights itself when knocked over, usually red, with a bearded scowling face and two oversized white eyes left blank. Sold with no pupils."
djed-pillar,amulet,Djed pillar,𓊽,djed · djt · backbone of Osiris · pillar of stability,ancient-egypt,EG,-1549,-1068,False,New Kingdom,pendant,gold faience,neck chest grave,the-dead,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/djed-pillar/,"A column with four flat bars stacked across its top, like a capital with too many collars. As an amulet it is small and hung at the neck; the Book of the Dead specifies a gold one for a mummy."
dolhareubang,amulet,Dol hareubang,돌하르방,tol harubang · harubang · useongmok 우석목 · ongjungseok 옹중석 · beoksumeori · stone grandfather,korea,KR,1416,,True,Joseon to the present,statue,,door,spirits infertility house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/dolhareubang/,"A standing figure cut from Jeju's volcanic rock, wearing a round hat, with large eyes, a closed mouth, and one shoulder set higher than the other."
dreamcatcher,amulet,Dreamcatcher,ᐊᓴᐱᑫᔒᓐᐦ,asabikeshiinh · asubakacin · bwaajige ngwaagan · spider web charm · dream snare,north-america,US CA,1929,,True,"Anishinaabe practice, recorded from 1929; mass market from the 1980s",knot,wood thread plastic,cradle wall vehicle,child-harm,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/dreamcatcher/,"A willow hoop with a net woven across it in sinew or plant cordage, tied off at a centre point, sometimes with feathers or beads added. Hung over a cradleboard or a bed."
dzi-bead,amulet,Dzi bead,གཟི།,gzi · zi bead · 天珠 · tian zhu · heaven's bead,himalaya-tibet south-asia china central-asia,CN NP BT IN TW,-699,,True,Saka-period find to the present,bead,agate carnelian,neck wrist,evil-eye illness spirits,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/dzi-bead/,"A tube of agate, brown to black, carrying pale ivory-white patterns that were etched into the stone rather than cut: circles, ovals, squares, waves, zigzags, stripes, lines, diamonds, dots."
ekeko,amulet,Ekeko,Iqiqu,Iqiqu · Ekhako · Eqaqo · Ekhekho,andes,BO PE,1781,,True,colonial La Paz to the present,figurine,terracotta paper coin,hearth neck pocket shop,poverty attraction house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ekeko/,"A short, moustached man in Andean dress, above all a poncho, loaded to the shoulders with everything a household could want: bags and baskets of grain, food, pots, tools, banknotes."
ethiopian-magic-scroll,amulet,Ethiopian talismanic scroll,ክታብ,healing scroll · protective scroll · kitab · ketab,east-africa,ET,1500,,True,sixteenth century to the present,scroll,parchment ink cloth leather,neck wall pocket,evil-eye spirits illness childbirth theft,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ethiopian-magic-scroll/,"A long strip of parchment — goat or sheep hide, soaked, dried, stretched, scraped and washed until it takes ink — painted with prayers in Ge'ez and with talismanic drawings, then rolled."
evil-eye-bracelet,amulet,Evil eye bracelet,nazar boncuğu,nazar bracelet · eye bead bracelet · mati bracelet · 🧿,anatolia greece-aegean world diaspora,TR GR,-1599,,True,"the glass eye bead from the Bronze Age; the bracelet, recent",bracelet,glass thread plastic silver,wrist neck phone vehicle door cradle,evil-eye envy bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/evil-eye-bracelet/,"One or more blue-and-white eye beads on an elastic cord, a chain or a red string, sized for a wrist."
exam-charm,amulet,Exam charm,合格祈願,gōkaku kigan · gakugyō-jōju omamori · kitto katsu Kit Kat · yeot · chapssaltteok · exam omamori,japan korea,JP KR,1979,,True,the modern examination system; the Tenjin cult behind it is Heian,packet,cloth paper wood thread,pocket phone wall,exams exams exams exams,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/exam-charm/,"Four different objects doing one job. A brocade pouch a few centimetres long, the shrine's name woven into it, a paper or wooden prayer sealed inside and not to be opened."
fascinum,amulet,Fascinum,fascinum,fascinus · winged phallus · phallic pendant · fist-and-phallus amulet,rome-italy western-europe britain-ireland maghreb,IT GB LY,-299,399,False,Roman,pendant,copper bone silver gold,neck finger wall door vehicle,evil-eye envy child-harm house war,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/fascinum/,"A phallus, worn. Usually cast in bronze, often winged, pierced or looped for a cord; also cut as finger rings, carved in relief on walls, made into lamps and into wind chimes called tintinnabula."
figa,amulet,Figa,figa,higa · cigua · fig hand · mano fica · manus fica · fig sign amulet,iberia brazil rome-italy greece-aegean,PT BR ES IT GR,-99,,True,Roman and Greek antiquity to the present,pendant,jet coral silver gold bone,neck wrist cradle,evil-eye spirits child-harm bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/figa/,"A closed fist with the thumb pushed up between the index and middle fingers, carved small and drilled for a cord. In Asturias it is cut from jet; elsewhere from coral, silver, gold, bone or moulded resin."
four-leaf-clover,amulet,Four-leaf clover,,quadrifoglio · lucky clover · four-leaved shamrock,britain-ireland western-europe north-america,IE GB US,1600,,True,Early modern to the present,,herb plastic paper,pocket wallet,bad-luck loneliness spirits,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/four-leaf-clover/,"A clover leaf with four leaflets instead of three, usually white clover, Trifolium repens. It is a mutation, not a species. Found ones are pressed flat in a book or sealed in plastic; grown ones are sold the same way."
fu-talisman,amulet,Fu talisman,符籙,fulu · fu · 符箓 · talismanic script · Taoist talisman,china,CN TW,317,,True,Eastern Jin to the present,folded-paper,paper ink cloth coin,pocket door wall vehicle,illness spirits demons bad-luck,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/fu-talisman/,"A sheet — usually paper, sometimes cloth, sometimes a coin's face — written over in a script nobody is meant to read."
game-day-charm,amulet,Game-day charm,,lucky shoes · rally cap · lucky number · rally chew · rally shoe · lucky jersey,north-america,US CA,1887,,True,the modern professional game,,cloth coin leather,head pocket wallet,bad-luck attraction bad-luck,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/game-day-charm/,Whatever was in the room the last time it went well. A pair of borrowed baseball shoes. A round rock picked up off a field. A uniform number. A cap turned inside out and worn backwards.
gau-box,amulet,Gau,ག་འུ།,ga'u · ghau · gao · amulet box · portable shrine,himalaya-tibet south-asia mongolia-steppe,CN NP IN BT MN,2000,,True,Tibetan Buddhist; the catalogued example is 21st century,box,silver gold copper brass cloth paper,neck chest upper-arm wall,travel illness bad-luck,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/gau-box/,"A metal box worn shut. Himalayan Art Resources calls the type a portable shrine, generally made from metal worked in repoussé — hammered from the back so the design stands out at the front."
gorgoneion,amulet,Gorgoneion,γοργόνειον,Gorgon head · Medusa head · Medusa mask,greece-aegean rome-italy anatolia,GR IT TR,-659,399,False,Archaic Greek through Roman,plaque,terracotta copper gold silver glass,neck door wall roof,evil-eye weapons house witchcraft,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/gorgoneion/,"A face, not a body: wild eyes, tusks, tongue out, snakes for hair."
gris-gris,amulet,Gris-gris,,grigri · gregory · gerregery · saffi,west-africa caribbean north-america diaspora,ML SN GH HT US,1700,,True,documented from the era of the West African Muslim scholarly networks; carried to the Americas with Atlantic slavery,bag,cloth paper ink herb,neck pocket skin,bad-luck infertility illness curse war,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/gris-gris/,"A small cloth pouch, worn on the body, usually at the neck. Inside: verses of the Qur'an written on pieces of paper, herbs, and a set number of small objects."
hagstone,amulet,Hagstone,Glain Neidr,adder stone · witch stone · fairy stone · serpent's egg · snake's egg · milpreve · adderstane · Gloine nan Druidh · Hühnergötter,britain-ireland western-europe baltic-slavic,GB DE RU,1,,True,Roman to the present,pendant,flint thread,neck wall door,lawsuit demons livestock bad-luck house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/hagstone/,"A stone with a hole worn right through it by water, usually flint, usually glassy. Nobody makes one: a hagstone is found, on a beach or in a field, and a stone holed by human hand does not count."
hamsa,amulet,Hamsa,خمسة,khamsa · khmisa · Hand of Fatima · Hand of Miriam · Hand of Mary · hamesh · afus,maghreb levant iberia anatolia iran-persia south-asia,MA DZ TN EG IL ES TR IR IQ IN PK,-799,,True,Iron Age to the present,pendant,silver jet gold,neck door wall vehicle shop cradle,evil-eye envy child-harm infertility illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/hamsa/,"An open palm, usually made symmetrical so it has a thumb on both sides, in silver more often than anything else, historically also carved in jet. An eye is often set in the palm."
heart-scarab,amulet,Heart scarab,,heart scarab amulet · Chapter 30B scarab,ancient-egypt,EG,-1689,-663,False,Second Intermediate Period to the Third Intermediate Period,pendant,gold,chest neck grave,the-dead lawsuit,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/heart-scarab/,"An oval beetle, larger and heavier than the scarabs of the living, cut from a dark green or black stone — green jasper, serpentine, basalt — and usually not drilled for suspension."
hei-matau,amulet,Hei matau,hei matau,fish hook pendant · matau,aotearoa pacific,NZ,,,True,"Māori, pre-European to the present",pendant,bone jade shell wood,neck boat,drowning travel infertility poverty,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/hei-matau/,"A heavily stylised fish hook, carved in bone or pounamu — the Māori term for the hard green stones, chiefly nephrite jade, found only in the South Island — and worn at the neck on a cord."
hei-tiki,amulet,Hei-tiki,hei tiki,tiki · pounamu pendant,aotearoa pacific,NZ,,,True,"Māori, pre-European to the present",pendant,jade bone plastic,neck grave,infertility war,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/hei-tiki/,"A pendant of a human figure, head tilted, hands on thigh and chest or both on the thighs, carved from pounamu and suspended on a plaited cord fastened with a loop and toggle."
hex-sign,amulet,Hex sign,Hexefoos,barn star · Blume · Sterne · witch foot · painted prayer,north-america,US,1800,,True,Nineteenth century to the present,plaque,wood paper,wall door shop,livestock fire house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/hex-sign/,"A painted disc on the side of a barn: usually a star inside a circular border, in bright colour on white."
hirz-pouch,amulet,Hirz,حرز,herz · Qur'an case · amulet box · Qur'an necklace,arabia-gulf,OM YE,1900,,True,Al Bu Said dynasty for the published example; the practice is older,box,silver paper ink,neck hair head,bad-luck demons evil-eye infertility,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/hirz-pouch/,"A small case on a chain, rectangular or cylindrical, holding verses of the Qur'an written on paper inside. Usually silver."
holy-rider-pendant,amulet,Holy rider pendant,,rider saint amulet · Sisinnios amulet · Solomon amulet · hystera amulet · Abyzou amulet,anatolia greece-aegean levant ancient-egypt,TR GR EG,501,1299,False,Early Byzantine to medieval,pendant,copper lead,neck,childbirth child-harm demons evil-eye illness,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/holy-rider-pendant/,"A small disc or pendant, bronze on the early Byzantine examples and lead on the medieval ones."
horseshoe,amulet,Horseshoe,,lucky horseshoe · door horseshoe · cold iron shoe,britain-ireland western-europe nordic rome-italy baltic-slavic anatolia north-america,GB IE IT DE DK SE NO LT EE TR US,910,,True,Medieval to the present,door-piece,iron steel terracotta glass,door lintel wall shop,spirits demons house bad-luck evil-eye demons,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/horseshoe/,"A U of iron, drilled with nail holes, that spent its first life nailed to a hoof. As a charm it is the used one: worn thin at the toe, still carrying nail stubs, fixed over a doorway."
illa,amulet,Illa,illa,conopa · canopa · inqaychu · enqa · camelid effigy,andes,PE BO,1400,,True,Inca to the present,figurine,,field hearth,livestock house,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/illa/,"A small carved animal, usually a llama or alpaca, cut from hard stone — the Dallas Museum of Art's Inca example is green and black — with a cylindrical hole sunk into the back between the shoulders. It sits in the hand."
incantation-bowl,amulet,Incantation bowl,,magic bowl · demon bowl · devil-trap bowl · Aramaic incantation bowl,mesopotamia iran-persia levant,IQ IR SY,501,800,False,Sasanian and early Islamic Mesopotamia,bowl,terracotta ink copper,foundation door grave hearth,demons evil-eye house illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/incantation-bowl/,"A plain earthenware bowl with writing inside it. The text is inked in a spiral that starts at the rim and winds inward to the centre, most often in Jewish Babylonian Aramaic, sometimes Mandaic, Syriac, Arabic or…"
inuit-amulet,amulet,Inuit amulet,,Netsilik amulet · Iglulik amulet · arnguaq,siberia-arctic north-america,CA GL US,1900,,True,recorded by twentieth-century ethnographers,,bone tooth skin hair,neck sewn-in pocket,illness spirits child-harm,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/inuit-amulet/,"Small worked or unworked pieces of animal and bird — bone, claw, tooth, skin, feather — sewn to clothing or carried, one amulet to one spirit. There is no single form."
jimat,amulet,Jimat,جيمت,azimat · tamimah · tangkal · rajah · uang gobog · pis bolong,island-sea,ID MY,1200,,True,Majapahit to the present,coin,copper brass paper ink cloth,neck vehicle wall pocket,illness bad-luck attraction weapons,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/jimat/,"A class rather than a shape. Jimat covers any object or piece of writing hung on a body, a vehicle or a building to keep its owner from harm."
kamea,amulet,Kamea,קמיע,kame'a · Jewish written amulet · segullah object,levant diaspora iberia baltic-slavic western-europe,IL ES DE PL GB,201,,True,Talmudic to the present,folded-paper,parchment paper silver copper ink,neck pocket wall door cradle,demons illness witchcraft evil-eye,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/kamea/,"A written amulet: a small sheet of parchment, paper or thin metal, inscribed in Hebrew with divine and angelic names, sometimes laid out as a grid of letters or numbers, then folded or rolled and carried, hung at a bed…"
keris-pusaka,amulet,Keris pusaka,ꦏꦼꦫꦶꦱ꧀,kris · keris · dhuwung · wangkingan · tosan aji · karih · sele,island-sea,ID MY BN PH,1200,,True,Kediri and Singhasari to the present,nail,iron gold silver brass wood bone,waist wall,bad-luck poverty fire attraction weapons,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/keris-pusaka/,"An asymmetrical dagger in three parts: blade (bilah), hilt (hulu) and sheath (warangka)."
ketef-hinnom-scrolls,amulet,Ketef Hinnom silver scrolls,כתף הינום,Ketef Hinnom amulets · the silver scrolls · KH1 and KH2,levant,IL,-624,-574,False,"Iron Age Judah, First Temple period",scroll,silver,grave,bad-luck the-dead,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ketef-hinnom-scrolls/,"Two sheets of silver, tiny, rolled tight, each scratched with a passage of the Priestly Blessing from the Book of Numbers."
ladanka,amulet,Ladanka,ладанка,ладонка · ковчежец · incense pouch · Orthodox reliquary pendant,baltic-slavic diaspora,RU,,,True,not dated by the sources read here,packet,cloth thread silver gold paper,neck chest,bad-luck,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/ladanka/,"A small pouch or a small hinged case hung at the neck on the same cord or chain as a baptismal cross. Cloth for the old kind, stamped or cast metal for the kind sold now, often with an icon on the lid."
lamashtu-plaque,amulet,Lamashtu plaque,𒀭𒈕𒈨,Lamashtu amulet · Lamastu plaque · Dimme amulet,mesopotamia,IQ SY,-999,-300,False,Neo-Assyrian and Neo-Babylonian,plaque,copper terracotta,neck wall door grave,child-harm childbirth illness demons,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/lamashtu-plaque/,"A small plaque, pierced or looped so it can hang, carrying the figure of the demon it is aimed at."
